Date,Open,High,Low,Close,Volume,AdjustedClose
20200102,1275.000,1295.000,1265.000,1280.000,1539400,640.000
20200103,1280.000,1295.000,1260.000,1280.000,1844100,640.000
20200106,1280.000,1315.000,1265.000,1290.000,7379600,645.000
20200107,1290.000,1315.000,1280.000,1295.000,6340300,647.500
20200108,1300.000,1310.000,1285.000,1300.000,3600600,650.000
20200109,1305.000,1310.000,1285.000,1285.000,1954800,642.500
20200110,1300.000,1300.000,1280.000,1280.000,1599000,640.000
20200113,1280.000,1295.000,1265.000,1270.000,4717700,635.000
20200114,1280.000,1285.000,1260.000,1260.000,4134700,630.000
20200115,1265.000,1270.000,1260.000,1270.000,3500800,635.000
20200116,1270.000,1280.000,1260.000,1265.000,1430500,632.500
20200117,1265.000,1270.000,1250.000,1260.000,5119600,630.000
20200120,1265.000,1285.000,1260.000,1280.000,6786100,640.000
20200121,1285.000,1285.000,1240.000,1250.000,3688700,625.000
20200122,1250.000,1255.000,1235.000,1245.000,3459400,622.500
20200123,1245.000,1245.000,1225.000,1225.000,1682200,612.500
20200124,1225.000,1240.000,1225.000,1230.000,834100,615.000
20200127,1230.000,1230.000,1185.000,1195.000,5739600,597.500
20200128,1195.000,1210.000,1185.000,1200.000,2740100,600.000
20200129,1200.000,1205.000,1195.000,1200.000,2075100,600.000
20200130,1200.000,1200.000,1185.000,1195.000,1632400,597.500
20200131,1195.000,1210.000,1165.000,1195.000,3795700,597.500
20200203,1150.000,1205.000,1140.000,1200.000,2124300,600.000
20200204,1200.000,1210.000,1190.000,1200.000,815400,600.000
20200205,1245.000,1245.000,1175.000,1200.000,3825100,600.000
20200206,1200.000,1210.000,1195.000,1200.000,3905700,600.000
20200207,1200.000,1220.000,1195.000,1210.000,3285500,605.000
20200210,1215.000,1230.000,1190.000,1195.000,2125600,597.500
20200211,1200.000,1230.000,1200.000,1230.000,3044800,615.000
20200212,1225.000,1245.000,1210.000,1240.000,1789800,620.000
20200213,1250.000,1260.000,1220.000,1240.000,4808500,620.000
20200214,1240.000,1250.000,1220.000,1245.000,4431900,622.500
20200217,1245.000,1250.000,1230.000,1230.000,735400,615.000
20200218,1230.000,1265.000,1230.000,1260.000,3547800,630.000
20200219,1265.000,1285.000,1260.000,1280.000,6640300,640.000
20200220,1285.000,1310.000,1280.000,1300.000,5392200,650.000
20200221,1300.000,1315.000,1260.000,1275.000,6757000,637.500
20200224,1275.000,1275.000,1240.000,1265.000,5246200,632.500
20200225,1260.000,1275.000,1230.000,1275.000,3127800,637.500
20200226,1280.000,1280.000,1230.000,1230.000,7082100,615.000
20200227,1230.000,1255.000,1205.000,1230.000,8296900,615.000
20200228,1230.000,1230.000,1150.000,1230.000,8259100,615.000
20200302,1230.000,1245.000,1170.000,1190.000,4983700,595.000
20200303,1215.000,1225.000,1200.000,1220.000,6160600,610.000
20200304,1220.000,1270.000,1220.000,1260.000,5606500,630.000
20200305,1270.000,1275.000,1245.000,1260.000,4319300,630.000
20200306,1255.000,1260.000,1230.000,1240.000,676700,620.000
20200309,1240.000,1240.000,1170.000,1205.000,4563500,602.500
20200310,1205.000,1265.000,1190.000,1260.000,8496600,630.000
20200311,1260.000,1285.000,1235.000,1265.000,6007800,632.500
20200312,1265.000,1265.000,1210.000,1220.000,4214700,610.000
20200313,1200.000,1250.000,1135.000,1240.000,5091700,620.000
20200316,1240.000,1240.000,1155.000,1155.000,6059200,577.500
20200317,1155.000,1165.000,1120.000,1130.000,2416900,565.000
20200318,1130.000,1150.000,1055.000,1055.000,3987000,527.500
20200319,1055.000,1055.000,985.000,985.000,7407700,492.500
